text,sentiment
I love the new social media app!,Positive
Not happy with the recent update.,Negative
rt ai que tesao ele raivoso desse jeito,Neutral
rt jai quune chose dire merci seigneur jsuschrist dsir dou,Neutral
rt a j podemos dizer q nessa troca de concept photo os seok arrasaram e ambos serviriam muito no conceito um do outro https,Neutral
oh geez you just used mate i know youve eaten more beans and toast than a chicken has feed,Negative
rt n ai,Neutral
rt aiai,Neutral
rt goat network tge is approaching and were delighted to join forces with the chad team to give our community,Positive
searching for instore availability for an item in vancouver and the closest store i get is portland the world is talking about ai and your store search is worse then internet,Negative
les filles les femmes il faut vraiment que lon se rveille cest pas possible de lire je nai pas de fille mais je ne veux pas de ce monde jai duqu mon fils au respect de tt le monde hors de question quil ctoie ces abrutis,Neutral
rt n ai,Neutral
